epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59702,0,31.7651,0,0,0,0,0,0,25.1765,0,0,0,0
2,5.41406,0,31.6769,0,0,0,0,0,0,25.1978,0,1.61199e-05,1.61199e-05,1.61199e-05
3,7.13719,0,31.6326,0,0,0,0,0,0,25.2199,0,3.11396e-05,3.11396e-05,3.11396e-05
4,8.74862,0,31.5179,0,0,0,0,0,0,25.2436,0,4.5059e-05,4.5059e-05,4.5059e-05
5,10.3979,0,31.402,0,0,0,0,0,0,25.2663,0,5.78782e-05,5.78782e-05,5.78782e-05
6,12.4611,0,31.2217,0,0,0,0,0,0,25.2864,0,6.95973e-05,6.95973e-05,6.95973e-05
7,14.2501,0,31.1047,0,0,0,0,0,0,25.3028,0,8.0216e-05,8.0216e-05,8.0216e-05
8,16.2164,0,30.9812,0,0,0,0,0,0,25.3128,0,8.97346e-05,8.97346e-05,8.97346e-05
9,17.8458,0,30.8033,0,0,0,0,0,0,25.3128,0,9.8153e-05,9.8153e-05,9.8153e-05
10,19.5964,0,30.8334,0,0,0,0,0,0,25.3344,0,0.000105471,0.000105471,0.000105471
11,21.189,0,30.6293,0,0,0,0,0,0,25.3344,0,0.000111689,0.000111689,0.000111689
12,22.8489,0,30.6777,0,0,0,0,0,0,25.3475,0,0.000116807,0.000116807,0.000116807
13,24.5204,0,30.4976,0,0,0,0,0,0,25.3475,0,0.000120824,0.000120824,0.000120824
14,26.146,0,30.5403,0,0,0,0,0,0,25.352,0,0.000123741,0.000123741,0.000123741
15,27.6964,0,30.3279,0,0,0,0,0,0,25.352,0,0.000125558,0.000125558,0.000125558
16,29.3527,0,30.3607,0,0,0,0,0,0,25.3496,0,0.000126275,0.000126275,0.000126275
17,30.9631,0,30.1679,0,0,0,0,0,0,25.3496,0,0.000125892,0.000125892,0.000125892
18,32.5609,0,30.1228,0,0,0,0,0,0,25.3446,0,0.000124408,0.000124408,0.000124408
19,34.3671,0,29.9086,0,0,0,0,0,0,25.3446,0,0.000121824,0.000121824,0.000121824
20,36.9563,0,29.9927,0,0,0,0,0,0,25.3371,0,0.00011814,0.00011814,0.00011814
21,38.8762,0,29.8868,0,0,0,0,0,0,25.3371,0,0.000113356,0.000113356,0.000113356
22,40.8087,0,29.7279,0,0,0,0,0,0,25.3325,0,0.000107471,0.000107471,0.000107471
23,42.9665,0,29.5265,0,0,0,0,0,0,25.3325,0,0.000100487,0.000100487,0.000100487
24,44.7935,0,29.6944,0,0,0,0,0,0,25.3325,0,9.24018e-05,9.24018e-05,9.24018e-05
25,46.8988,0,29.5227,0,0,0,0,0,0,25.3528,0,8.32166e-05,8.32166e-05,8.32166e-05
26,48.8882,0,29.3393,0,0,0,0,0,0,25.3528,0,7.29312e-05,7.29312e-05,7.29312e-05
27,51.1027,0,29.3596,0,0,0,0,0,0,25.3528,0,6.15456e-05,6.15456e-05,6.15456e-05
28,53.2706,0,29.3741,0,0,0,0,0,0,25.3816,0,4.90598e-05,4.90598e-05,4.90598e-05
29,55.9677,0,29.2046,0,0,0,0,0,0,25.3816,0,3.54738e-05,3.54738e-05,3.54738e-05
30,57.7985,0,29.2114,0,0,0,0,0,0,25.3816,0,2.07875e-05,2.07875e-05,2.07875e-05
