epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4464,0.95799,2.87426,1.53539,0.00296,1,0.44346,0.39573,0.43751,3.63806,0.92078,0.00021671,0.00021671,0.00021671
2,91.7235,0.63963,2.35222,1.32493,0.00292,1,0.49353,0.39912,0.4136,3.31814,0.87768,0.000435237,0.000435237,0.000435237
3,136.873,0.66815,1.9379,1.35321,0.71872,0.25,0.48486,0.47267,0.40285,3.08368,0.8282,0.000638361,0.000638361,0.000638361
4,189.751,0.7409,1.80725,1.36902,0.38745,0.92582,0.54665,0.47164,0.68685,2.85496,1.14955,0.000826082,0.000826082,0.000826082
5,245.49,0.74382,1.73445,1.36629,0.40725,0.67045,0.43271,0.31554,0.82188,2.98396,1.14964,0.0009984,0.0009984,0.0009984
6,285.022,0.73888,1.70195,1.36561,0.27843,0.80769,0.45613,0.44549,0.43191,2.86844,0.82492,0.00115531,0.00115531,0.00115531
7,325.047,0.7117,1.63452,1.33843,0.21775,0.80769,0.43303,0.39898,0.53637,2.87127,0.99494,0.00129683,0.00129683,0.00129683
8,363.975,0.6698,1.53339,1.31178,0.33275,0.88462,0.45382,0.2886,0.75988,5.03874,1.03731,0.00128192,0.00128192,0.00128192
9,401.773,0.70225,1.56753,1.34568,0.46864,0.72179,0.6246,0.48185,0.48833,4.20879,0.93276,0.00122691,0.00122691,0.00122691
10,450.526,0.69161,1.59522,1.30858,0.36336,0.73352,0.48405,0.40307,0.62199,4.20448,1.18133,0.0011719,0.0011719,0.0011719
11,490.434,0.76602,1.5012,1.39507,0.35471,0.61538,0.44463,0.39669,0.51879,4.03475,1.01296,0.00111689,0.00111689,0.00111689
12,526.466,0.6581,1.427,1.27329,0.72473,0.5,0.26072,0.23336,0.52441,3.49337,0.96891,0.00106188,0.00106188,0.00106188
13,560.896,0.61246,1.41049,1.23921,0.45209,0.54121,0.33488,0.20379,1.27383,4.64795,1.48345,0.00100687,0.00100687,0.00100687
14,597.045,0.56133,1.33361,1.20886,0.44515,0.36227,0.37024,0.2305,1.05256,3.30221,1.31437,0.000951857,0.000951857,0.000951857
15,635.786,0.60501,1.39861,1.23633,0.31899,0.77059,0.44146,0.34224,0.76687,2.78497,1.10858,0.000896846,0.000896846,0.000896846
16,676.516,0.6309,1.36071,1.25149,0.29525,0.75008,0.4872,0.43128,0.51117,2.79046,0.92466,0.000841835,0.000841835,0.000841835
17,717.342,0.60811,1.35969,1.23818,0.44401,0.91544,0.53388,0.48635,0.38474,2.05181,0.83306,0.000786824,0.000786824,0.000786824
18,756.511,0.6222,1.39144,1.25765,0.46007,0.95825,0.59408,0.54322,0.33836,1.85772,0.75732,0.000731813,0.000731813,0.000731813
19,793.762,0.62162,1.33151,1.25704,0.48781,1,0.603,0.55678,0.31956,1.82256,0.73126,0.000676802,0.000676802,0.000676802
20,828.236,0.57171,1.25158,1.21821,0.46,0.96154,0.61899,0.60022,0.29487,1.95658,0.72419,0.000621791,0.000621791,0.000621791
21,864.11,0.29872,1.88957,1.10488,0.43557,0.84615,0.66436,0.64563,0.29782,1.96847,0.72543,0.00056678,0.00056678,0.00056678
22,897.356,0.25582,1.64523,1.07665,0.46943,0.90983,0.58699,0.58699,0.26037,2.03249,0.6393,0.000511769,0.000511769,0.000511769
23,932.117,0.19544,1.52224,1.00811,0.464,0.88462,0.62435,0.62435,0.22213,2.13694,0.60332,0.000456758,0.000456758,0.000456758
24,966.506,0.19591,1.46774,0.95423,0.54234,0.89209,0.6856,0.6856,0.26044,2.23815,0.63249,0.000401747,0.000401747,0.000401747
25,1001.02,0.18101,1.37172,0.96106,0.5599,0.9871,0.71858,0.71858,0.25671,2.27375,0.60712,0.000346736,0.000346736,0.000346736
26,1041.19,0.17445,1.24955,0.97131,0.56484,0.98239,0.74661,0.74661,0.21279,2.10503,0.55657,0.000291725,0.000291725,0.000291725
27,1080.22,0.21454,1.26069,1.03857,0.55117,0.96154,0.73402,0.73402,0.19535,2.12444,0.5383,0.000236714,0.000236714,0.000236714
28,1118.18,0.15561,1.18368,0.94707,0.58465,0.92159,0.71442,0.71442,0.17913,2.07734,0.53077,0.000181703,0.000181703,0.000181703
29,1166.35,0.15692,1.31971,0.95779,0.55935,0.93011,0.71801,0.71801,0.20104,2.08647,0.55612,0.000126692,0.000126692,0.000126692
30,1204.04,0.1349,1.18328,0.96291,0.56562,0.92612,0.70324,0.70324,0.22599,2.14349,0.57783,7.1681e-05,7.1681e-05,7.1681e-05
